"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83"
"47",7,9,2,6,6,6,6,6,6,8,3,2,7,6,2,2,2,3,6,8,2,8,2,8,4,2,2,1,8,2,6,1,6,4,8,8,6,6,8,9,8,6,6,10,6,6,8,6,8,8,7,6,8,2,6,8,6,8,1,6,8,6,6,6,6,6,8,6,3,7,8,6,8,8,1,5,8,6,8,5,11,11,8
"48",4,7,4,1,4,4,4,1,4,6,9,3,4,1,6,4,6,9,4,1,4,4,4,1,3,6,6,8,5,4,4,8,1,4,1,5,1,4,1,7,1,4,4,10,1,1,5,1,5,4,1,4,4,4,1,4,4,5,8,1,5,4,1,1,4,4,5,1,9,4,1,4,1,1,8,1,1,4,1,2,11,11,1
"49",5,3,5,7,5,5,5,7,5,7,4,6,5,5,5,5,5,4,5,5,5,5,5,5,6,5,5,8,5,5,5,8,5,6,7,5,5,5,4,3,5,5,5,9,5,7,2,7,5,5,4,5,1,5,7,1,5,5,8,5,2,5,5,5,5,5,5,5,4,5,4,5,5,7,8,4,7,5,7,4,10,10,7
"50",2,1,4,2,2,2,2,2,2,5,7,4,2,5,4,4,4,7,2,5,4,5,4,2,3,4,4,8,4,4,4,8,2,3,2,2,2,2,5,1,2,2,2,9,2,6,4,2,4,5,2,2,5,4,2,5,2,4,8,2,4,2,2,2,2,2,4,2,7,2,5,2,2,5,8,5,5,2,2,5,10,10,5
"51",3,1,3,3,7,3,9,3,3,3,6,2,3,8,3,3,3,6,9,8,3,3,3,3,2,7,9,7,3,3,3,7,3,3,3,3,3,3,7,1,3,3,7,10,3,5,3,3,3,3,7,7,4,3,3,4,7,3,7,3,7,3,3,3,3,3,7,3,6,3,3,3,3,3,7,7,7,7,3,7,11,11,3
"52",8,3,5,8,8,8,8,8,8,7,5,8,8,1,8,8,7,5,3,1,7,1,1,8,8,7,3,6,8,8,8,6,8,8,4,8,8,8,8,3,4,8,8,9,8,4,8,8,8,1,8,8,1,8,8,1,8,8,6,8,8,8,8,8,8,8,3,8,5,8,1,8,8,4,6,2,4,8,4,2,10,10,4
"53",6,5,8,2,2,2,9,2,2,8,3,8,6,7,8,8,8,3,9,7,8,8,2,2,4,2,8,1,2,2,2,1,2,4,2,6,2,2,7,5,2,2,2,10,2,2,2,2,2,7,6,2,7,2,2,7,2,2,1,2,2,2,2,2,2,2,2,2,3,6,7,2,2,7,1,7,7,2,2,7,11,11,7
"54",1,3,5,1,1,1,1,1,1,5,2,5,1,1,5,5,5,2,1,5,5,5,5,1,5,5,5,6,1,5,5,6,1,5,1,1,1,1,2,3,1,1,1,8,1,7,4,1,1,5,2,1,5,5,1,5,1,1,6,1,4,1,1,1,1,1,1,1,2,1,2,1,1,5,6,2,6,1,1,2,9,9,5
"55",2,7,2,2,2,2,5,2,2,4,3,1,2,9,2,2,2,3,5,9,2,4,4,9,1,2,7,9,9,2,2,8,2,1,9,9,2,2,9,7,9,2,5,10,2,2,6,2,9,4,2,2,4,2,2,4,2,9,9,2,6,2,2,2,2,2,9,2,3,2,9,2,9,9,9,9,9,2,9,9,11,11,9
"56",1,9,10,1,1,1,5,1,1,10,8,10,1,10,10,10,10,8,5,1,10,1,1,1,6,1,10,2,1,1,1,2,1,6,1,1,1,1,1,9,1,1,10,11,1,1,3,1,1,1,1,1,4,1,1,4,1,1,2,1,3,1,1,1,1,1,1,1,8,1,1,1,1,1,2,7,1,1,1,7,12,12,1
"57",6,1,9,6,6,7,7,6,7,9,8,9,7,4,9,9,9,8,7,4,9,9,6,6,6,6,9,5,6,6,6,5,6,6,6,6,2,7,6,1,6,7,6,10,6,4,3,6,6,6,6,6,6,6,6,6,6,7,5,6,3,7,2,2,7,7,6,2,8,6,6,7,6,4,5,2,4,7,6,2,11,11,4
"58",3,2,1,3,3,3,6,3,3,1,7,1,3,9,1,1,1,7,6,9,1,3,3,3,3,3,1,4,3,3,3,4,3,3,3,3,3,3,3,2,3,3,1,10,3,9,3,3,3,8,3,3,8,3,3,8,3,3,4,3,3,3,3,3,3,3,3,3,7,3,3,3,3,9,4,5,9,3,3,5,11,11,9
"59",4,1,6,3,3,3,9,3,3,6,7,6,4,3,6,6,6,7,9,3,6,6,6,3,8,3,6,2,3,3,3,2,3,3,3,4,3,3,3,1,3,3,3,10,3,3,5,3,3,3,3,3,3,3,3,3,3,3,2,3,5,3,3,3,3,3,3,3,7,4,7,3,3,3,2,3,3,3,3,3,11,11,3
"60",5,4,2,5,5,5,5,5,5,2,7,2,5,6,2,2,2,7,5,6,2,2,2,5,5,2,2,8,5,5,5,8,5,5,5,5,5,5,6,4,5,5,5,9,5,3,1,5,5,6,6,5,6,5,5,6,5,5,8,5,1,5,5,5,5,5,6,5,7,5,7,5,5,6,8,6,6,5,5,6,10,10,6
"61",3,5,3,3,3,3,3,3,3,2,1,7,3,9,2,3,2,1,3,9,2,2,2,3,7,2,2,10,3,3,3,10,3,7,6,3,3,3,8,5,3,3,3,11,3,6,4,6,3,3,8,3,3,3,6,3,3,3,10,3,4,3,3,3,3,3,8,3,1,3,6,3,3,6,10,8,6,3,6,8,12,12,6
"62",6,1,2,6,6,6,6,6,6,2,6,2,6,5,2,2,2,6,6,5,2,2,2,6,8,2,2,7,6,6,6,7,6,8,6,6,6,6,5,1,6,6,6,9,6,5,3,6,6,3,5,6,3,6,6,3,6,6,7,6,3,6,6,6,6,6,4,6,6,6,3,6,6,5,7,5,5,6,6,5,10,10,5
"63",1,7,8,1,1,1,4,1,1,8,3,8,1,6,8,8,8,3,4,6,8,8,8,1,2,1,8,5,1,1,1,5,1,2,1,1,1,1,1,1,1,1,8,9,1,1,1,1,1,6,1,1,6,1,1,6,1,1,5,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,5,1,1,1,1,1,10,10,1
"64",9,8,5,1,2,2,4,1,2,5,6,5,9,4,5,5,5,6,4,2,5,5,2,2,7,2,5,2,2,2,2,3,1,7,1,2,2,2,2,8,2,2,2,10,1,1,2,1,2,2,9,2,2,2,1,2,2,2,3,1,2,2,2,2,2,2,2,2,6,9,1,2,2,1,3,2,3,2,1,2,11,11,1
"65",9,7,8,9,9,9,10,9,9,8,5,8,9,4,8,8,8,5,10,4,8,4,4,9,6,9,8,2,9,9,9,2,9,6,9,9,9,9,4,7,9,9,9,11,9,1,3,9,9,4,9,9,4,9,9,4,9,9,2,9,3,9,9,9,9,9,9,9,5,9,9,9,9,1,2,4,1,9,9,4,12,12,1
"66",7,9,3,7,7,7,5,7,7,3,4,3,7,2,3,3,3,4,5,2,3,2,2,7,1,7,3,8,7,7,7,8,7,1,7,7,7,7,7,9,7,7,5,10,7,7,6,7,7,2,7,7,2,7,7,2,7,7,8,7,6,7,7,7,7,7,7,7,4,7,7,7,7,7,8,7,7,7,7,7,11,11,7
"67",9,6,7,9,9,9,8,9,9,7,9,7,9,10,7,7,7,9,8,10,7,7,7,9,2,9,7,4,9,9,9,4,9,2,9,9,9,9,9,6,9,9,8,11,9,9,3,9,9,9,9,9,5,9,9,5,9,9,4,9,3,9,9,9,9,9,9,9,9,9,9,9,9,9,4,1,9,9,9,1,12,12,9
"68",7,4,2,3,3,3,9,3,3,2,6,2,7,1,2,2,2,6,9,1,2,3,3,3,5,3,2,8,3,3,3,8,3,5,3,7,3,3,3,4,3,3,9,10,3,3,3,3,3,3,7,3,3,3,3,3,3,3,8,3,3,3,3,3,3,3,3,3,6,7,3,3,3,3,8,3,3,3,3,3,11,11,3
"69",5,10,6,9,9,9,1,9,9,6,3,6,5,4,6,6,6,3,1,4,6,6,6,9,2,9,6,8,9,9,9,8,9,2,9,5,9,9,5,10,9,9,9,11,9,9,7,9,9,9,5,9,9,9,9,9,9,9,8,9,7,9,9,9,9,9,9,9,3,5,9,9,9,9,8,5,9,9,9,5,12,12,9
"70",5,3,5,8,8,8,2,8,8,5,4,5,5,6,5,5,5,4,2,6,5,5,8,8,7,8,5,1,8,8,8,1,8,8,8,7,8,8,8,3,8,8,7,9,8,8,8,8,8,6,5,8,6,8,8,6,8,8,1,8,8,8,8,8,8,8,8,8,4,5,6,8,8,6,1,8,6,8,8,8,10,10,6
"71",3,3,3,3,3,3,5,3,3,3,3,3,3,2,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,1,3,4,3,5,3,3,3,3,3,3,5,6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,7,7,3
"72",3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,3
"73",9,9,9,9,9,9,7,9,9,8,9,8,9,5,9,9,9,9,7,5,9,9,9,9,8,9,9,9,9,9,9,1,9,8,9,7,9,9,9,9,9,9,7,10,9,3,9,9,9,9,9,9,2,9,9,2,9,9,1,9,9,9,9,9,9,9,4,9,9,9,9,9,9,9,1,6,1,9,9,6,11,11,9
"74",2,2,2,2,2,2,5,2,2,4,2,4,2,4,2,2,2,2,2,4,2,2,2,2,4,2,2,2,2,2,2,3,2,4,2,4,2,2,2,2,2,2,4,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,7,7,2
"75",5,5,7,5,5,5,2,5,5,7,6,7,5,3,7,7,7,6,2,3,7,7,7,5,1,5,7,4,5,5,5,4,5,1,5,5,5,5,5,5,5,5,2,8,5,5,3,5,5,3,5,5,3,5,5,3,5,5,4,5,3,5,5,5,5,5,5,5,6,5,5,5,5,5,4,5,5,5,5,5,9,9,5
"76",3,4,7,3,3,3,3,3,3,7,1,7,3,5,7,7,7,1,3,5,7,7,7,3,2,7,7,8,5,3,3,8,3,2,3,5,3,3,5,4,3,3,3,9,3,6,5,3,5,5,5,3,5,3,3,5,3,5,8,3,5,3,3,3,3,3,5,3,1,3,1,3,3,6,8,5,6,3,3,5,10,10,6
"77",1,1,1,1,1,1,7,1,1,6,1,6,1,2,1,1,1,1,7,2,1,1,1,1,6,1,1,5,1,1,1,5,1,6,1,1,1,1,1,1,1,1,7,9,1,1,3,1,1,1,1,1,8,1,1,8,1,1,5,1,3,1,1,1,1,1,1,1,1,1,1,1,1,2,5,4,2,1,1,4,10,10,2
"78",4,5,2,2,2,2,9,2,2,8,6,1,4,8,3,2,3,6,9,8,3,8,8,2,1,2,3,2,2,2,2,7,2,2,2,4,2,2,2,5,2,2,2,10,2,2,2,2,2,8,4,2,8,2,2,8,2,2,2,2,2,2,2,2,2,2,2,2,6,4,2,2,2,8,2,2,8,2,2,2,11,11,8
"79",7,9,4,3,3,3,3,3,3,3,4,8,7,2,3,3,7,4,3,2,3,3,3,3,8,3,3,6,5,3,3,6,3,8,1,5,3,3,7,9,1,3,3,10,3,1,3,1,5,3,7,3,3,3,1,3,3,5,6,3,3,3,3,3,3,3,5,3,4,7,7,3,3,1,6,7,1,3,1,7,11,11,1
